滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
撲空	扑空 	[pu1 kong1]	/jmdn. nicht zu Hause antreffen, jmdn. nicht wie erwartet vorfinden (V)/
撲粉	扑粉 	[pu1 fen3]	/pudern (V)/
撲翼	扑翼 	[pu1 yi4]	/mit den Flügeln schlagen (V)/
撲通	扑通 	[pu1 tong1]	/plumps! (Int)/Platsch (S)/
撲面而來	扑面而来 	[pu1 mian4 er2 lai2]	/gegen (P)/ins Gesicht wehen (V)/
撲騰	扑腾 	[pu1 teng5]	/klopfen (V)/zappeln (V)/
撲鼻	扑鼻 	[pu1 bi2]	/scharf (Adj)/
撳	揿 	[qin4]	/drücken, drängen (V)/
撻伐	挞伐 	[ta4 fa1]	/eine Strafexpedition senden (V)/
撻	挞 	[ta4]	/reißend, schnell (Adj)/
撼	撼 	[han4]	/anspornen, animieren (V)/bewegen, rütteln (V)/
撽	撽 	[qiao4]	/mit einem Stock schlagen (V)/von der Seite schlagen (V)/
撾	挝 	[wo1]	/antike Waffe mit einer Hand oder einer Klaue an der Spitze (S)/
撾	挝 	[zhua1]	/Runde, Schlag, Takt (S)/
撿了芝麻	捡了芝麻 	[jian3 le5 zhi1 ma5]	/(fig.) Sesam aufsammeln, Kleinkram erledigen (V)/
撿	捡 	[jian3]	/aufheben (V)/
擀	擀 	[gan3]	/Roulade (S)/rollen, zerquetschen (V)/
擀麵杖	擀面杖 	[gan3 mian4 zhang4]	/Nudelholz (klein) (S)/
擁塞	拥塞 	[yong3 se4]	/Überfüllung (S)/Überlastung (S)/Stau (S)/
擁女主義	拥女主义 	[yong3 nü3 zhu3 yi4]	/Pro-Feminismus (S)/
擁抱	拥抱 	[yong1 bao4]	/umarmen (V)/
擁抱	拥抱 	[yong3 bao4]	/Umarmung (S)/umfassen (V)/umschließen (V)/
擁抱親吻	拥抱亲吻 	[yong1 bao4 qin1 wen3]	/schmusen (V)/
擁	拥 	[yong1]	/fördern, stützen (V)/halten, festhalten (V)/Gedränge (S)/
擁擠不堪	拥挤不堪 	[yong1 ji3 bu4 kan1]	/höchst gedrängt (Adj)/
擁擠	拥挤 	[yong1 ji3]	/sich drängen (V)/gedrängt (Adj)/Gedränge (S)/
擁擠的人群	拥挤的人群 	[yong1 ji3 de5 ren2 qun2]	/Gedränge, sich drängelnde Menschen (S)/
擁擠著	拥挤着 	[yong3 ji3 zhu4]	/erfüllt sein von (V)/
擁有其全部股權的子公司	拥有其全部股权的子公司 	[yong1 you3 qi2 quan2 bu4 gu3 quan2 de5 zi3 gong1 si1]	/Tochtergesellschaft, die alle Anteile besitzt (S, Wirtsch)/
擁有	拥有 	[yong1 you3]	/haben, verfügen über, besitzen (V)/
擁有權	拥有权 	[yong1 you3 quan2]	/Eigentum (S, Rechtsw)/
擁有者	拥有者 	[yong1 you3 zhe3]	/Besitzer (S)/
擁護憲法	拥护宪法 	[yong3 hu4 xian4 fa3]	/konstitutionell (Adj)/
擁護	拥护 	[yong1 hu4]	/Aufrechterhaltung (S)/Befürwortung (S)/Beteiligung (S)/Fürsprache (S)/Stütz (S)/bestätigen, billigen (V)/verfechten (V)/
擁護者	拥护者 	[yong1 hu4 zhe3]	/Befürworter, Träger (S)/Sympathisant (S)/
擂台	擂台 	[lei4 tai2]	/Bühne für Kämpfe (S, Arch)/Boxring (S, Arch)/Kampfbühne (S, Arch)/
擂	擂 	[lei2]	/reiben, schleifen (V)/Schlag (S)/Schlagbolzen (S)/
擂	擂 	[lei4]	/schlagen, besiegen (V)/trommeln; die Trommel rühren (V)/
擂臺	擂台 	[lei4 tai2]	/Bühne für Kämpfe (S, Arch)/Boxring (S, Arch)/Kampfbühne (S, Arch)/
擄	掳 	[lu3]	/gefangen nehmen, gefangennehmen (alt) (V)/
擄走	掳走 	[lu3 zou3]	/entführen (V)/
擅	擅 	[shan4]	/aneignen (V)/unbefugt (Adj)/
擅於	擅于 	[shan4 yu2]	/in etw. perfekt sein (V)/
擅自	擅自 	[shan4 zi4]	/unbefugt, eigenmächtig (Adj)/
擅長技藝的人	擅长技艺的人 	[shan4 chang2 ji4 yi4 de5 ren2]	/Artist (S)/
擅長	擅长 	[shan4 chang2]	/sich verstehen auf (V)/in etw. gut sein (V)/starke Seite (S)/
擇交	择交 	[ze2 jiao1]	/Freunde auswählen (V)/
擇偶	择偶 	[ze2 ou3]	/Partnersuche, Partnerwahl (S)/
擇偶標準	择偶标准 	[ze2 ou3 biao1 zhun3]	/Kriterium für den Partnerwahl (S)/Maßstab für beim Partnerwahl (S)/
擇定	择定 	[ze2 ding4]	/auswählen, küren (V)/
擇	择 	[ze2]	/auswählen (V)/
擇捉島	择捉岛 	[ze2 zhuo1 dao3]	/Iturup (Insel der Kurilen, Nordpazifik) (Geo)/
擇日	择日 	[ze2 ri4]	/an einem anderen Tag (S)/
擇機	择机 	[ze2 ji1]	/auswählen (V)/
擇菜	择菜 	[zhai2 cai4]	/verlesen (V)/
擉	擉 	[chuo4]	/aufspießen (V)/
擊下	击下 	[ji1 xia4]	/abschießen (V)/
擊中靶心	击中靶心 	[ji1 zhong4 ba3 xin1]	/gezielt (Adj)/
擊倒	击倒 	[ji2 dao3]	/überfahren (V)/
擊倒對手	击倒对手 	[ji2 dao3 dui4 shou3]	/Knock-out (S)/
擊	击 	[ji1]	/angreifen, prügeln, schlagen (V, Med)/Schlag, Stoß (S)/
擊劍	击剑 	[ji2 jian4]	/Fechten (S, Sport)/fechten (V, Sport)/
擊回	击回 	[ji1 hui2]	/Rücklauf (S)/zurückprallen (V)/
擊敗	击败 	[ji1 bai4]	/Vereitelung (S)/
擊敗	击败 	[ji2 bai4]	/Schlag (S)/Schlagbolzen (S)/überwinden (V)/schlagen (V)/
擊斃	击毙 	[ji2 bi4]	/erschießen (V)/totschießen (V)/
擊殺	击杀 	[ji1 sha1]	/erschlagen (V)/
擊毀	击毁 	[ji1 hui3]	/abschießen (V)/
擊潰	击溃 	[ji2 kui4]	/zerschlagen (V)/zerschmettern (V)/
擊球	击球 	[ji1 qiu2]	/mit dem Schlagholz schlagen (V)/
擊碎	击碎 	[ji1 sui4]	/zerschmettern (V)/
擊穿	击穿 	[ji1 chuan1]	/Durchschlag (Elektrotechnik) (S)/
擊節	击节 	[ji1 jie2]	/sich mitreißen lassen (V)/
擊落	击落 	[ji2 luo4]	/abschießen (V)/
擊退	击退 	[ji2 tui4]	/schlagen (V)/
擊鈸	击钹 	[ji1 bo2]	/Zimbeln (S, Mus)/
擊鼓	击鼓 	[ji2 gu3]	/trommeln (V)/
擋塊	挡块 	[dang3 kuai4]	/Anschlag (S)/
擋	挡 	[dang3]	/blockieren, abblocken (V)/
擋板	挡板 	[dang3 ban3]	/Anschlag (S, Tech)/Prallwand (S, Tech)/
擋水板	挡水板 	[dang3 shui3 ban3]	/Welle (S)/Wellenbrecher (S)/
擋泥板	挡泥板 	[dang3 ni2 ban3]	/Kotflügel (S)/
擋車工	挡车工 	[dang3 che1 gong1]	/Maschinenbediener, Bediener (S)/
擋道	挡道 	[dang4 dao4]	/im Wege stehen, den Weg versperren (V)/
擋風玻璃	挡风玻璃 	[dang3 feng1 bo1 li5]	/Frontscheibe (S)/Windschutzscheibe (S)/
擋風禦寒	挡风御寒 	[dang3 feng1 yu4 han2]	/Wind und Kälte abwehren (V)/
操作上	操作上 	[cao1 zuo4 shang4]	/betrieblich (Adj)/
操作不便	操作不便 	[cao1 zuo4 bu4 bian4]	/nicht leicht zugänglich (Adj)/
操作中	操作中 	[cao1 zuo4 zhong1]	/in Betrieb (S)/
操作人員力所能及的範圍	操作人员力所能及的范围 	[cao1 zuo4 ren2 yuan2 li4 suo3 neng2 ji2 de5 fan4 wei2]	/in Reichweite des Bedieners (S)/
操作人員	操作人员 	[cao1 zuo4 ren2 yuan2]	/Bediener, Bedienungspersonal (S)/Bedienungspersonal (S)/
操作余地	操作余地 	[cao1 zuo4 yu2 di4]	/Handlungsspielraum (S)/
操作側	操作侧 	[cao1 zuo4 ce4]	/Bedienerseite, Bedienungsseite (S)/
操作元件	操作元件 	[cao1 zuo4 yuan2 jian4]	/Bedienungselement (S)/
操作功能	操作功能 	[cao1 zuo4 gong1 neng2]	/Bedienfunktion (S)/
操作可靠性	操作可靠性 	[cao1 zuo4 ke3 kao4 xing4]	/Bedienungssicherheit (S)/
操作和維修	操作和维修 	[cao1 zuo4 he2 wei2 xiu1]	/Betrieb und Wartung (S)/
操作員	操作员 	[cao1 zuo4 yuan2]	/Bediener (S)/
操作單元	操作单元 	[cao1 zuo4 dan1 yuan2]	/Bedienungselement (S)/
